アイドルマスターSP
パーフェクトサン	天海春香・高槻やよい・菊地真
ミッシングムーン	如月千早・秋月律子・三浦あずさ
ワンダリングスター	双海亜美・真美・萩原雪歩・水瀬伊織
プロジェクト・フェアリー	我那覇響・四条貴音・星井美希
アイドルマスターDS
ディアリースターズ	日高愛・水谷絵理・秋月涼
riola	近藤聡美・尾崎玲子
アイドルマスター2
竜宮小町	双海亜美・三浦あずさ・水瀬伊織
ジュピター	天ヶ瀬冬馬・伊集院北斗・御手洗翔太
アイドルマスター2 The world is all one!!
SprouT	天海春香・萩原雪歩・我那覇響
わんつ→ているず	双海真美・高槻やよい
花鳥風月	如月千早・四条貴音
アイドルマスター2 眠り姫
SLEEPING BEAUTY	如月千早・天海春香・星井美希
アイドルマスターrelations
魔王エンジェル/幸運エンジェル	東豪寺麗華・朝比奈りん・三条ともみ
レッドショルダー	
雪月花	雪・月・花
D・LOVE	萩原雪歩・水瀬伊織
BLACK PRINCESS	天海春香・三浦あずさ
ナムコエンジェル	765プロアイドル全員
THEiDOLM@STER(アニメ)
新幹少女	ひかり・つばめ・のぞみ
アイドルマスターシャイニーフェスタ
ハニーサウンド	天海春香・如月千早・秋月律子・三浦あずさ
ファンキーノート	高槻やよい・我那覇響・水瀬伊織・双海亜美・真美
グルーヴィーチューン	星井美希・萩原雪歩・菊地真・四条貴音
朝焼けは黄金色
ブラックニードル	若宮一沙・香椎アオ・久米うらら
アイドルマスタースターリットシーズン
ディアマント	玲音・詩花・亜夜
アルバノクト	奥空心白・亜夜
その他、総合
Engage!/you-i※	天海春香・如月千早・高槻やよい
TORICO※	天海春香・如月千早・萩原雪歩
765PRO ALLSTARS	765プロアイドル全員
